date,temperature,dew_point_temperature,sunrise,precip_prob,humidity,wind_speed,icon_clear,icon_cloudy,icon_fog,icon_partly-cloudy,icon_rain,icon_sleet,icon_snow
20150101,1.7,-2.8,1,0.7,0.53,4.33,0,0,0,0,1,0,0
20150101,2.2,-4.4,1,0.77,0.52,4.28,0,0,0,0,1,0,0
20150101,3.3,-5,1,0.74,0.5,4.44,0,0,0,0,1,0,0
20150101,3.9,-5.6,1,0.65,0.49,3.82,0,0,0,0,1,0,0
20150101,5.6,-5,1,0.42,0.49,3.38,1,0,0,0,0,0,0
20150101,5.6,-5,1,0.18,0.51,2.97,1,0,0,0,0,0,0
20150101,6.7,-5,0,0.15,0.56,0.6,1,0,0,0,0,0,0
20150101,6.7,-5.6,0,0,0.62,0.18,1,0,0,0,0,0,0
20150101,6.1,-5,0,0,0.66,0.05,1,0,0,0,0,0,0
20150101,6.1,-5,0,0,0.69,0.09,1,0,0,0,0,0,0
20150101,5.6,-5,0,0,0.73,0.04,1,0,0,0,0,0,0
20150101,5,-5.6,0,0,0.75,0.14,1,0,0,0,0,0,0
20150101,3.9,-5,0,0,0.77,0.21,1,0,0,0,0,0,0
20150101,4.4,-5.6,0,0,0.79,0.29,1,0,0,0,0,0,0
20150101,4.4,-6.1,0,0,0.78,0.48,1,0,0,0,0,0,0
20150101,3.3,-5,0,0,0.8,0.47,1,0,0,0,0,0,0
20150101,3.3,-5.6,0,0,0.82,0.32,1,0,0,0,0,0,0
20150101,3.9,-5.6,0,0,0.83,0.35,1,0,0,0,0,0,0
20150101,2.8,-4.4,0,0,0.84,0.21,1,0,0,0,0,0,0
20150101,2.8,-3.3,1,0,0.86,0.16,1,0,0,0,0,0,0
20150101,2.8,-1.7,1,0,0.86,0.3,0,0,0,1,0,0,0
20150101,2.8,-1.1,1,0,0.79,0.93,0,0,0,1,0,0,0
20150101,3.9,-1.1,1,0.1,0.72,2.66,1,0,0,0,0,0,0
20150101,4.4,-1.1,1,0.15,0.7,3.4,0,0,0,1,0,0,0
20150101,5,-0.6,1,0.06,0.71,3.11,0,1,0,0,0,0,0
20150101,6.7,0,1,0,0.73,1.9,0,1,0,0,0,0,0
20150101,7.8,0.6,1,0,0.74,2.36,0,1,0,0,0,0,0
20150101,7.8,1.1,1,0,0.75,1.55,0,1,0,0,0,0,0
20150101,8.3,1.7,1,0,0.79,1.44,0,1,0,0,0,0,0
20150101,8.3,2.8,1,0.11,0.86,0.97,0,1,0,0,0,0,0
20150101,8.3,3.3,0,0.41,0.9,0.68,0,1,0,0,0,0,0
20150101,8.9,3.9,0,0.6,0.92,0.67,0,1,0,0,0,0,0
20150101,9.4,4.15,0,0.72,0.93,0.61,0,1,0,0,0,0,0
20150101,8.9,5.6,0,0.81,0.93,0.19,0,0,0,0,1,0,0
20150101,8.9,6.95,0,0.51,0.93,0.14,0,0,1,0,0,0,0
20150101,9.15,7.8,0,0.15,0.94,0.12,0,0,1,0,0,0,0
20150101,8.9,7.8,0,0.13,0.94,0.38,0,0,1,0,0,0,0
20150101,8.9,8.05,0,0,0.95,0.46,0,0,1,0,0,0,0
20150101,8.9,8.3,0,0,0.95,0.73,0,0,1,0,0,0,0
20150101,8.92,8.24,0,0,0.94,1.11,0,1,0,0,0,0,0
20150101,8.3,8.05,0,0,0.95,1.4,0,1,0,0,0,0,0
20150101,9.025,8.05,0,0,0.95,1.03,0,1,0,0,0,0,0
20150101,9.6,9.066666667,0,0,0.95,1.17,0,0,1,0,0,0,0
20150101,10,9.4,1,0,0.96,1.12,0,0,1,0,0,0,0
20150101,10,9.4,1,0,0.96,2.77,0,0,1,0,0,0,0
20150101,10,8.95,1,0,0.95,3.31,0,1,0,0,0,0,0
20150101,10,9.15,1,0,0.94,3.34,0,1,0,0,0,0,0
20150101,10,10,1,0,0.92,3.87,0,1,0,0,0,0,0
20150101,10.6,10,1,0,0.87,4.13,0,0,0,1,0,0,0
20150101,10.76666667,10,1,0,0.79,4.21,0,0,0,1,0,0,0
20150101,11.4,10.6,1,0,0.72,3.51,1,0,0,0,0,0,0
20150101,12.2,10.6,1,0,0.68,2.61,1,0,0,0,0,0,0
20150101,13.3,10.6,1,0,0.68,2.37,1,0,0,0,0,0,0
